Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
1	tiktúrna	nvfe	no-kvk-ft-ef	tiktúrna	tiktúrn
1	glimrandri	lveþsf	lo-kvk-et-þgf-sb-fst	glimrandi	glimrandur
1	Op	e	ób-e	Op.	Op
1	Mínútuvalsinn	nkengs	no-kk-et-nf-gr-s	Mínútuvalsi	Mínútuvals
1	Steinwayinum	nkeþgs	no-kk-et-þgf-gr-s	Steinwayinum	Steinwayir
1	Bösendorferinn	nkeogs	no-kk-et-þf-gr-s	Bösendorferinn	Bösendorfer
1	framúrstefnu-regndropaprelúdíu	nveo	no-kvk-et-þf	framúrstefnuregndropaprelúdía	framúrstefnu-regndropaprelúdía
1	fegri	lkeovm	lo-kk-et-þf-vb-mst	fegra	fagur
1	Elgar-lögin	nhfng	no-hk-ft-nf-gr	elgarlag	Elgar-lag
1	Vínaróperettulög	nhfn-s	no-hk-ft-nf-s	Vínaróperettulög	Vínaróperettulag
1	Wium	nkee-s	no-kk-et-ef-s	Wiumur	Wium
1	Fyrst	aae	ao-est	fyrst	snemma
1	Vínarlög	nhfn-s	no-hk-ft-nf-s	Vínarlög	Vínarlag
1	Varir	nvfn-s	no-kvk-ft-nf-s	Vör	Varir
1	GEOFFREY	n----s	no-x-s	GEOFFREY	Geoffrey
1	dúr	nkfo	no-kk-ft-þf	dúrhljómur	dúrr
1	Heimi	nkeþ-s	no-kk-et-þgf-s	Heimur	Heimir
1	lyfja-	kt	ób-sk	lyfjameðferð	lyfja-
1	beta-blokkarar	nkfn	no-kk-ft-nf	betablokkari	beta-blokkari
1	fræði-	kt	ób-sk	fræðifólk	fræði-
1	Skjala-	kt	ób-sk	skjalasafn	Skjala-
1	Landnámssýningarinnar	nveegs	no-kvk-et-ef-gr-s	landnámssýning	Landnámssýning
1	Leiðinni	nveþgs	no-kvk-et-þgf-gr-s	leið	Leið
1	Djöflapollur	nken-s	no-kk-et-nf-s	djöflapollur	Djöflapollur
1	Combray-sögunnar	nveegs	no-kvk-et-ef-gr-s	Combraysaga	Combray-saga
1	Combray-kaflans	nkeegs	no-kk-et-ef-gr-s	Combraykafli	Combray-kafli
1	notaleg	x	ób-x	notalegur	notaleg
1	vanagang	x	ób-x	vanagangur	vanagang
1	Leiðina	nveogs	no-kvk-et-þf-gr-s	leið	Leið
1	morgunn	nkeo	no-kk-et-þf	morgunn	morgunnur
1	unni	x	ób-x	unna	unni
1	rannsóknar-aðferðarinnar	nveeg	no-kvk-et-ef-gr	rannsóknaraðferð	rannsóknar-aðferð
1	hraðvaxandi	slg	so-lhnt-gm	hraðvaxandi	hraðvaxa
1	grunvallarspurningar	nvfn	no-kvk-ft-nf	grundvallarspurning	grunvallarspurning
1	Framsóknarkaflann	nkeogs	no-kk-et-þf-gr-s	framsóknarkafli	Framsóknarkafli
1	Jakobshólmann	nkeogs	no-kk-et-þf-gr-s	Jakobshólmi	Jakobshólminn
1	stærstu	x	ób-x	stór	stærstu
1	jafnharðar	x	ób-x	jafnharðan	jafnharðar
1	ánægðum	x	ób-x	ánægður	ánægðum
1	Viðskiptablaðið	nheogs	no-hk-et-þf-gr-s	Viðskiptablað	Viðskiptablaðið
1	svipaða	x	ób-x	svipaður	svipaða
1	frumvöðlaverðlaunin	nhfog	no-hk-ft-þf-gr	frumkvöðlaverðlaun	frumvöðlaverðlaun
1	yfirburða	nkfe	no-kk-ft-ef	yfirburðir	yfirburður
1	intellektúalarnir	nkfng	no-kk-ft-nf-gr	intellektúal	intellektúall
1	lei-át	nheo	no-hk-et-þf	leiát	lei-át
1	öður	x	ób-x	aða	öður
1	spilum	sfg2fn	so-fh-gm-2p-ft-nt	spila	spilum
1	okku	x	ób-x	ég	okku
1	Kvenréttindafélaginu	nheþgs	no-hk-et-þgf-gr-s	Kvenréttindafélag	Kvenréttindafélagið
1	kvennaheyfingu	nveþ	no-kvk-et-þgf	kvennahreyfing	kvennaheyfing
1	byrjað	x	ób-x	byrja	byrjað
1	sinnið	nheng	no-hk-et-nf-gr	sinni	sinn
1	Slysavarnarfélags	nhee-s	no-hk-et-ef-s	Slysavarnarfélag	Slysavarnarfélagið
1	Bandríkjanna	nhfegs	no-hk-ft-ef-gr-s	Bandaríki	Bandríki
1	þessa	x	ób-x	þessi	þessa
1	gerða	x	ób-x	gerð	gerða
1	Löggildingastofu	nveo-s	no-kvk-et-þf-s	löggildingastofa	Löggildingastofa
1	plastumbúðir	nvfo	no-kvk-ft-þf	plastumbúð	plastumbúðir
1	áhyggur	x	ób-x	áhyggja	áhyggur
1	nálagt	x	ób-x	nálægur	nálagt
1	Læknagarðs	nkee-s	no-kk-et-ef-s	læknagarður	Læknagarður
1	skipi	x	ób-x	skipta	skipi
1	Uppgtövað	x	ób-x	uppgtöva	Uppgtövað
1	efnalauginn	x	ób-x	efnalaug	efnalauginn
1	hefur	x	ób-x	hafa	hefur
1	undrunnar	x	ób-x	undra	undrunnar
1	innflytjenda	x	ób-x	innflytjandi	innflytjenda
1	ókunnugann	x	ób-x	ókunnugur	ókunnugann
1	KB-Banka	nkee-s	no-kk-et-ef-s	KB-banki	KB-Banki
1	mannns	nkee	no-kk-et-ef	maður	mannnur
1	fók	x	ób-x	taka	fók
1	banka-auglýsingar	nvfn	no-kvk-ft-nf	bankaauglýsing	banka-auglýsing
1	Ál-þjóð	nven	no-kvk-et-nf	álþjóð	Ál-þjóð
1	áhug	x	ób-x	áhugi	áhug
1	laangt	lhensf	lo-hk-et-nf-sb-fst	langur	laangur
1	kántrí-ham	nkeþ	no-kk-et-þgf	kántríhamur	kántrí-hamur
1	geisladiska-	kt	ób-sk	geisladiskasafn	geisladiska-
1	glerkristalla	nkfo	no-kk-ft-þf	glerkristall	glerkristallur
1	Eyfells	nkeo-s	no-kk-et-þf-s	Eyfell	Eyfells
1	hauðar	nvee	no-kvk-et-ef	hauður	hauð
1	vettvengi	x	ób-x	vettvengir	vettvengi
1	kraftbirting	nkeo	no-kk-et-þf	kraftbirting	kraftbirtingur
1	Listafélags	nhee-s	no-hk-et-ef-s	listafélag	Listafélag
1	Ríkislistakademíuna	nveogs	no-kvk-et-þf-gr-s	ríkislistakademía	Ríkislistakademían
1	mag.art.	e	ób-e	mag.art	mag.art.
1	Árósum	nkfþ-s	no-kk-ft-þgf-s	Árós	Árósar
1	íslenzkra	lvfesf	lo-kvk-ft-ef-sb-fst	íslenskur	íslenzkur
1	Bókverk	nhfn-s	no-hk-ft-nf-s	bókverk	Bókverk
1	ElísabetarKristínar	nvee-s	no-kvk-et-ef-s	ElísabetKristín	Elísabetarkristín
1	Gyðingasafnið	nheogs	no-hk-et-þf-gr-s	gyðingasafn	Gyðingasafn
1	Vanefni	nhfn-s	no-hk-ft-nf-s	vanefni	Vanefni
1	hljóð-	kt	ób-sk	hljóðverk	hljóð-
1	bók-	kt	ób-sk	bókverk	bók-
1	Jazzkvartett	nken-s	no-kk-et-nf-s	jazzkvartett	Jazzkvartett
1	Jagúar	nkee-s	no-kk-et-ef-s	jagúar	Jagúar
1	Dragkabarett	nkeo-s	no-kk-et-þf-s	dragkabarett	Dragkabarett
1	siglinga-	kt	ób-sk	siglingamenning	siglinga-
1	mælt	lheosf	lo-hk-et-þf-sb-fst	mæltur	mældur
1	sættir	nvfn-s	no-kvk-ft-nf-s	Sætt	Sátt
1	smásálarlega	lveovf	lo-kvk-et-þf-vb-fst	smásálarlega	smásálarlegar
1	eruð	x	ób-x	vera	eruð
1	mjólkur-	kt	ób-sk	mjólkurneysla	mjólkur-
1	Hvorttveggja	fohen	fn-ó-hk-et-nf	hvorttveggi	hvorttveggja
1	Einfallt	x	ób-x	einfaldur	Einfallt
1	-salt	nhen	no-hk-et-nf	salt	-salt
1	Lögreglunnar	nveegs	no-kvk-et-ef-gr-s	lögregla	Lögreglan
1	Skjá	nkeþ-s	no-kk-et-þgf-s	skjár	Skjár
1	Skjáeinn	nkeo-s	no-kk-et-þf-s	Skjáeur	Skjáeinnur
1	Sunnudagsþáttarins	nkee-s	no-kk-et-ef-s	Sunnudagsþáttur	Sunnudagsþáttarinn
1	sifja-	kt	ób-sk	sifjadeild	sifja-
1	hvíta	x	ób-x	hvítur	hvíta
1	Versins	nheegs	no-hk-et-ef-gr-s	Ver	Verið
1	harðangur-	kt	ób-sk	harðangursaumur	harðangur-
1	starfir	x	ób-x	stafur	starfir
1	Verið	nheogs	no-hk-et-þf-gr-s	Ver	Verið
1	Faktorshúsið	nhengs	no-hk-et-nf-gr-s	Faktorshús	Faktorshúsið
1	Ásgerðar	nvee-s	no-kvk-et-ef-s	Ásgerður	Ásgerð
1	antikhúsgögnum	nhfþ	no-hk-ft-þgf	antíkhúsgagn	antikhúsgagn
1	uxahölunum	nkfþg	no-kk-ft-þgf-gr	uxahal	uxahali
1	Sveppa-ragú	nhen	no-hk-et-nf	sveppa-ragú	Sveppa-ragú
1	slysalaust	aa	ao	slysalaus	slysalaust
1	lista-	kt	ób-sk	listastarf	lista-
1	Arnlds	x	ób-x	Arnaldur	Arnlds
1	Golíat	nkeþ-s	no-kk-et-þgf-s	Golíat	Golíatur
1	þyrluþjónustuna	nveog	no-kvk-et-þf-gr	þyrluþjónustan	þyrluþjónusta
1	talsist	x	ób-x	telja	talsist
1	gert	sþgven	so-lhþt-gm-kvk-et-nf	gera	gerða
1	kjaraviðræður	nvfn	no-kvk-ft-nf	kjaraviðræða	kjaraviðræður
1	mánaðarmót	nhfn	no-hk-ft-nf	mánaðamót	mánaðarmót
1	Íshússfélags	nhee-s	no-hk-et-ef-s	íshússfélag	Íshússfélag
1	verra	lheþvm	lo-hk-et-þgf-vb-mst	verri	slæmur
1	langbest	aae	ao-est	langbest	langvel
1	íslendingslegur	lkensf	lo-kk-et-nf-sb-fst	Íslendingslegur	íslendingslegur
1	Tretjakovsafnið	nheogs	no-hk-et-þf-gr-s	Tretjakovsafnið	Tretjakovsafn
1	F.v.	n----s	no-x-s	f.v.	F.V.
1	Hrím-félaga	nkeo-s	no-kk-et-þf-s	Hrímfélagi	Hrím-félagi
1	reynir	nken	no-kk-et-nf	Reynir	reynir
1	Stalínista	nkfe-s	no-kk-ft-ef-s	stalínisti	Stalínisti
1	nýlokið	sþghen	so-lhþt-gm-hk-et-nf	nýlokið	nýljúka
1	friðar-	kt	ób-sk	friðartími	friðar-
1	romms	n----s	no-x-s	romms	Romms
1	saabinn	nkeog	no-kk-et-þf-gr	saabi	saabur
1	Fást	nkeo-s	no-kk-et-þf-s	Fást	Fástur
1	sæmra	lhenvm	lo-hk-et-nf-vb-mst	sæmur	sæmri
1	halla@mbl.i	x	ób-x	halla@mbl.is	halla@mbl.i
1	Kyoto-bókuninni	nveþgs	no-kvk-et-þgf-gr-s	Kyoto-bókun	Kyoto-bókunin
1	Kyoto-bókunin	nvengs	no-kvk-et-nf-gr-s	Kyoto-bókun	Kyoto-bókunin
1	TVÖ	to	to	tvö	tveir
1	Markaðs-	kt	ób-sk	markaðsmaður	Markaðs-
1	markaðs-	kt	ób-sk	markaðsfyrirtæki	markaðs-
1	sölu-	kt	ób-sk	sölufyrirtæki	sölu-
1	SÍF-samstæðan	nvengs	no-kvk-et-nf-gr-s	SÍF-samstæðan	SÍF-samstæða
1	fiskvinnslu-	kt	ób-sk	fiskvinnslufyrirtæki	fiskvinnslu-
1	sölu-	kt	ób-sk	sölueining	sölu-
1	SH80-hátíðnisónar	nken	no-kk-et-nf	sh80-hátíðnisónar	SH80-hátíðnisónar
1	SL35-hátíðnisónar	nken	no-kk-et-nf	sl35-hátíðnisónar	SL35-hátíðnisónar
1	90kHz	ks	ób-sk	90khz	90kHz
1	HS50	x	ób-x	hs50	HS50
1	Olex-plotterum	x	ób-x	olex-plotterum	Olex-plotterum
1	Astikið	nheng	no-hk-et-nf-gr	Astikið	astik
1	SIMRAD	n-eo-s	no-x-s	SIMRAD	Simrad
1	fiskileitar-	kt	ób-sk	fiskileitartæki	fiskileitar-
1	Simrad-astiksins	nheegs	no-hk-et-ef-gr-s	Simrad-astiksins	Simrad-astik
1	Hugins	nkee-s	no-kk-et-ef-s	Hugins	Huginn
1	mæli-	kt	ób-sk	mælitækni	mæli-
1	Kyoto-bókunarinnar	nveegs	no-kvk-et-ef-gr-s	Kyoto-bókun	Kyoto-bókunin
1	inn-	kt	ób-sk	innvigtun	inn-
1	starfsmanður	x	ób-x	starfsmaður	starfsmanður
1	afkasta	nhfe	no-hk-ft-ef	afkast	afköst
1	voga-	kt	ób-sk	vogalausn	voga-
1	vogar-	kt	ób-sk	vogarlausn	vogar-
1	H52	x	ób-x	h52	H52
1	Eyolf	x	ób-x	Eyólfur	Eyolf
1	niðurstöður	x	ób-x	niðurstaða	niðurstöður
1	YORK	n----s	no-x-s	York	YORK
1	Síldarvinnslunnar	nveegs	no-kvk-et-ef-gr-s	Síldarvinnsla	Síldarvinnslan
1	vinnslu-	kt	ób-sk	vinnsluskip	vinnslu-
1	mars	x	ób-x	margs	mars
1	hagæðing	nven	no-kvk-et-nf	hagræðing	hagæðing
1	hefðbundis	lheesf	lo-hk-et-ef-sb-fst	hefðbundis	hefðbundið
1	A092	x	ób-x	a092	A092
1	nánst	x	ób-x	nánast	nánst
1	Mesa-vélar	nvfo-s	no-kvk-ft-þf-s	Mesa-vél	Mesa-vélar
1	Gellu-	kt	ób-sk	gelluvél	Gellu-
1	haus-	kt	ób-sk	hausskera	haus-
1	Mesa-vélar	nvfn-s	no-kvk-ft-nf-s	Mesa-vél	Mesa-vélar
1	Sjávar-	kt	ób-sk	sjávarmálastofnun	Sjávar-
1	Sjóvá-Almennar	lvfnsf	lo-kvk-ft-nf-sb-fst	sjóvá-almennur	Sjóvá-Almennur
1	þriðju-	ks	ób-sk	þriðjud.	þriðju-
1	mánu-	ks	ób-sk	mánud.	mánu-
1	Sunnud	ks	ób-sk	Sunnud.	Sunnud
1	föstud	ks	ób-sk	föstud.	föstud
1	laugar-	kt	ób-sk	laugardagur	laugar-
1	reiðubúin	x	ób-x	reiðubúinn	reiðubúin
1	Fréttastofu	nveo-s	no-kvk-et-þf-s	fréttastofa	Fréttastofa
1	Önnu	x	ób-x	Anna	Önnu
1	rannsókna-	kt	ób-sk	rannsóknasjóður	rannsókna-
1	Rannsóknarráðsins	nheegs	no-hk-et-ef-gr-s	Rannsóknarráð	Rannsóknarráðið
1	RANNUM	n-ee-s	no-x-s	RANNUM	Rannum
1	Landspítali-háskólasjúkrahús	nhen-s	no-hk-et-nf-s	Landspítali-Háskólasjúkrahús	Landspítali-háskólasjúkrahús
1	Veg-	kt	ób-sk	vegnúmer	Veg-
1	upphafs-	kt	ób-sk	upphafspunktur	upphafs-
1	Arðsemireikningar	nkfn	no-kk-ft-nf	arðsemisreikningur	arðsemireikningur
1	53MB	ks	ób-sk	53mb	53MB
1	Snjó-	kt	ób-sk	snjólaus	Snjó-
1	snjó-	kt	ób-sk	snjólaus	snjó-
1	Vvegur	x	ób-x	vvegur	Vvegur
1	B18.x	x	ób-x	b18.x	B18.x
1	A17.1	ta	to	a17.1	A17.1
1	A20.1	ta	to	a20.1	A20.1
1	A22.1	ta	to	a22.1	A22.1
1	B01.1	ta	to	b01.1	B01.1
1	Húsadýragarðinum	nkeþgs	no-kk-et-þgf-gr-s	Húsadýragarður	Húsadýragarðurinn
1	FAIRTRADE	n----s	no-x-s	FAIRTRADE	Fairtrade
1	Kirkjuhúsið	nhengs	no-hk-et-nf-gr-s	Kirkjuhús	Kirkjuhúsið
1	Frelsarans	nkeegs	no-kk-et-ef-gr-s	frelsari	Frelsari
1	Skarðsheiðin	nvengs	no-kvk-et-nf-gr-s	Skarðsheiðin	Skarðsheiði
1	Akrafjallið	nhengs	no-hk-et-nf-gr-s	Akrafjall	Akrafjallið
1	bækistövar	nvfo	no-kvk-ft-þf	bækistöð	bækistö
1	hálfeittleytið	nheog	no-hk-et-þf-gr	hálfeittleyti	hálfeittleytið
1	geip	x	ób-x	grípa	geip
1	vefnaðarvöru-	kt	ób-sk	vefnaðarvörudeild	vefnaðarvöru-
1	Áfengis-	kt	ób-sk	áfengisverslun	Áfengis-
1	sættu	svg3fþ	so-vh-gm-3p-ft-þt	sætta	sæta
1	mjöööög	aa	ao	mjög	mjöööög
1	góðuhr	x	ób-x	góður	góðuhr
1	éh	x	ób-x	ég	éh
1	framaplönd	nhfo	no-hk-ft-þf	framaplan	framapland
1	jo	n----s	no-x-s	jo	Jo
1	beutiful	n----s	no-x-s	beutiful	Beutiful
1	beverly	n----s	no-x-s	beverly	Beverly
1	bevely	n----s	no-x-s	bevely	Bevely
1	kelly	n----s	no-x-s	kelly	Kelly
1	senior	n----s	no-x-s	senior	Senior
1	brrrreeeenda	n----s	no-x-s	brrrreeeenda	Brrrreeeenda
1	dylans	n----s	no-x-s	dylans	Dylans
1	zuckerman	n----s	no-x-s	zuckerman	Zuckerman
1	blablablablabla	au	ób-uh	bla	blablablablabla
1	swjötta	lkeovf	lo-kk-et-þf-vb-fst	swjöttur	swjötti
1	hahah	au	ób-uh	haha	hahah
1	brandararrr	nkfn	no-kk-ft-nf	brandari	brandararrr
1	bar	aa	ao	bara	bar
1	gasaklea	x	ób-x	gasalega	gasaklea
1	sæytt	x	ób-x	sætur	sæytt
1	sææææææætttt	lhensf	lo-hk-et-nf-sb-fst	sætur	sææææææætddur
1	gilmore	n----s	no-x-s	gilmore	Gilmore
1	bubba	nkeo	no-kk-et-þf	Bubbi	bubbi
1	can«t	e	ób-e	can't	can«t
1	lýst	sfg3en	so-fh-gm-3p-et-nt	lýsa	lýsta
1	hjáááálp	nhen	no-hk-et-nf	hjálp	hjáááálp
1	gunnars	nkee	no-kk-et-ef	Gunnar	gunnar
1	agnari	nkeþ	no-kk-et-þgf	Agnar	agnar
1	agnar	nken	no-kk-et-nf	Agnar	agnar
1	burgess	x	ób-x	Burgess	burgess
1	freysa	nkeþ	no-kk-et-þgf	Freysi	freysi
1	dobbúlklónun	nven	no-kvk-et-nf	dobbúlklón	dobbúlklónun
1	reservoir	n----s	no-x-s	reservoir	Reservoir
1	maggi	nken	no-kk-et-nf	Maggi	maggi
1	jóa	nkee	no-kk-et-ef	Jói	jói
1	þormóður	nken	no-kk-et-nf	Þormóður	þormóður
1	elís	nken	no-kk-et-nf	Elís	elís
1	augnhárununum	x	ób-x	augnhár	augnhárununum
1	stefan	e	ób-e	Stefan	stefan
1	helsinki	n----s	no-x-s	helsinki	Helsinki
1	stefans	nkee-s	no-kk-et-ef-s	Stefan	Stefans
1	germany	n----s	no-x-s	germany	Germany
1	Grímsvatnalóninu	nheþgs	no-hk-et-þgf-gr-s	Grímsvatnalón	Grímsvatnalónið
1	-stöðu	nveo	no-kvk-et-þf	staða	-staða
1	Sahara-	kt	ób-sk	Sahara-eyðimörk	Sahara-
1	Góbí-eyðimerkurnar	nvfngs	no-kvk-ft-nf-gr-s	Góbíeyðimörk	Góbí-eyðimörk
1	meðal-kornastærð	nveo	no-kvk-et-þf	meðalkornastærð	meðal-kornastærð
1	Fornleifafélagsins	nheegs	no-hk-et-ef-gr-s	Fornleifafélag	Fornleifafélagið
1	skiptst	sþmhen	so-sagnb-mm	skipta	skipt
1	Ar-Ar-aldursgreiningar	nvfo-s	no-kvk-ft-þf-s	Ar-Ar-aldursgreining	Ar-Ar-aldursgreiningar
1	Elliðaárhrauninu	nheþgs	no-hk-et-þgf-gr-s	Elliðaárhraun	Elliðaárhraunið
1	ár-kvarter	nkeþ	no-kk-et-þgf	árkvarter	ár-kvarter
1	störum	nvfþ	no-kvk-ft-þgf	stör	stara
1	Reykjavíkursvæðið	nheogs	no-hk-et-þf-gr-s	Reykjavíkursvæði	Reykjavíkursvæðið
1	ár-kvarteran	lkeosf	lo-kk-et-þf-sb-fst	árkvarter	ár-kvarter
1	Reykjavíkurgrágrýtið	nhengs	no-hk-et-nf-gr-s	Reykjavíkurgrágrýtið	Reykjavíkurgrágrýti
1	Kötluhlaupinu	nheþgs	no-hk-et-þgf-gr-s	Kötluhlaup	Kötluhlaupið
1	sandana	nkfog	no-kk-ft-þf-gr	sandi	sandur
1	Úrkomu-vindáttin	nveng	no-kvk-et-nf-gr	úrkomu-vindátt	Úrkomu-vindátt
1	sandar	nkfn	no-kk-ft-nf	sandi	sandur
1	Skriðunni	nveþgs	no-kvk-et-þgf-gr-s	Skriða	Skriðan
1	vatns-	kt	ób-sk	vatnsríkur	vatns-
1	Lakagígahraunið	nhengs	no-hk-et-nf-gr-s	Lakagígahraun	Lakagígahraunið
1	Eldgjárhraunið	nhengs	no-hk-et-nf-gr-s	Eldgjárhraun	Eldgjárhraunið
1	Lakagígahraunið	nheogs	no-hk-et-þf-gr-s	Lakagígahraun	Lakagígahraunið
1	tímafresti	nkfþ	no-kk-ft-þgf	tímafrestur	tímafresti
1	Evrópufélagið	nhengs	no-hk-et-nf-gr-s	Evrópufélag	Evrópufélagið
1	hvern	foken	fn-ó-kk-et-nf	hver	hvern
1	Flm.	ks	ób-sk	flm.	Flm.
1	IV.	lkeþvf	lo-kk-et-þgf-vb-fst	iv.	IV.
1	Setberginu	nheþgs	no-hk-et-þgf-gr-s	Setberg	Setbergið
1	tvöhundruð	tfhfo	to	tvöhundra	tvöhundruð
1	fjórradda	lvfþsf	lo-kvk-ft-þgf-sb-fst	fjórraddaður	fjórradda
1	XX	x	ób-x	xx	XX
1	Minjasafnins	nheegs	no-hk-et-ef-gr-s	minjasafn	Minjasafn
1	Hláturtíð	nveþ-s	no-kvk-et-þgf-s	hláturtíð	Hláturtíð
1	Bíóklúbbinn	nkeogs	no-kk-et-þf-gr-s	bíóklúbbur	Bíóklúbbur
1	neon-liti	nkfo	no-kk-ft-þf	neonlitur	neon-litur
1	Fötin	nhfng	no-hk-ft-nf-gr	fat	föt
1	Chanel-flugvélin	nvengs	no-kvk-et-nf-gr-s	Chanelflugvél	Chanel-flugvél
1	ICELANDAIR	n----s	no-x-s	ICELANDAIR	Icelandair
1	Vef-Þjóðviljinn	nkengs	no-kk-et-nf-gr-s	Vef-Þjóðvilji	Vef-Þjóðviljinn
1	M.v.	n----s	no-x-s	m.v.	M.V.
1	Idol-dómarinn	nkeng	no-kk-et-nf-gr	idoldómari	Idol-dómari
1	Idol-þáttunum	nkfþgs	no-kk-ft-þgf-gr-s	Idolþáttur	Idol-þáttur
1	McCartneys	n----s	no-x-s	McCartneys	Mccartneys
1	Þrumkettir	nkfn-s	no-kk-ft-nf-s	Þrumkettir	Þrumköttur
1	Þrumukettina	nkfogs	no-kk-ft-þf-gr-s	Þrumukettur	Þrumuköttur
1	Vináttuleikur	nken	no-kk-et-nf	Vináttuleikur	vináttuleikur
1	L.	n-ee-s	no-x-s	L	L.
1	bílinn	x	ób-x	bíll	bílinn
1	DAEWOO	n----s	no-x-s	DAEWOO	Daewoo
1	lengið	x	ób-x	lengi	lengið
1	brrr	au	ób-uh	brr	brrr
1	heimferdin	x	ób-x	heimferð	heimferdin
1	Flugid	x	ób-x	flug	Flugid
1	tima	x	ób-x	tími	tima
1	leidinni	x	ób-x	leið	leidinni
1	timar	x	ób-x	tími	timar
1	Sídasti	x	ób-x	síðari	Sídasti
1	ferdarinnar	x	ób-x	ferð	ferdarinnar
1	Thetta	x	ób-x	þetta	Thetta
1	leid	x	ób-x	líða	leid
1	òtrùlega	aa	ao	ótrúlega	òtrùlega
1	skiptid	x	ób-x	skipti	skiptid
1	raudvin	x	ób-x	rauðvín	raudvin
1	sùkkuladimùs	x	ób-x	súkkulaðimús	sùkkuladimùs
1	threytandi	x	ób-x	þreytandi	threytandi
1	letilif	x	ób-x	letilíf	letilif
1	Sòlbad	nhen	no-hk-et-nf	sólbað	sòlbad
1	à	sfg3en	so-fh-gm-3p-et-nt	á	àa
1	djùpsteiktar	lvfnsf	lo-kvk-ft-nf-sb-fst	djúpsteiktur	djùpsteiktur
1	plàss	nhen	no-hk-et-nf	pláss	plàss
1	bilinn	x	ób-x	bíl	bilinn
1	sjà	sng	so-nh-gm	sjá	sjà
1	thessarri	x	ób-x	þessi	thessarri
1	Fràbært	lhensf	lo-hk-et-nf-sb-fst	frábært	fràbær
1	litil	x	ób-x	lítill	litil
1	litill	x	ób-x	lítill	litill
1	sòlbad	nhen	no-hk-et-nf	sólbað	sòlbad
1	hvitar	x	ób-x	hvítur	hvitar
1	kòngulær	nvfn	no-kvk-ft-nf	kónguló	kònguló
1	djùpt	aa	ao	djúpt	djùpt
1	thessum	x	ób-x	þessi	thessum
1	frà	af	ao	frá	frà
1	sydsta	x	ób-x	syðri	sydsta
1	nyrst	aae	ao-est	norðar	norður
1	timum	x	ób-x	tími	timum
1	gòdu	x	ób-x	góður	gòdu
1	ferdinni	x	ób-x	ferð	ferdinni
1	hvitvin	x	ób-x	hvítvín	hvitvin
1	albinòakrabba	nkfo	no-kk-ft-þf	albínóakrabbi	albinòakrabbi
1	adeins	x	ób-x	aðeins	adeins
1	lika	x	ób-x	líka	lika
1	stadurinn	x	ób-x	staður	stadurinn
1	sjàlfur	foken	fn-ó-kk-et-nf	sjálfur	sjàlfur
1	stòd	x	ób-x	standa	stòd
1	sjòinn	nkeog	no-kk-et-þf-gr	sjór	sjòur
1	tar	x	ób-x	þar	tar
1	brimid	x	ób-x	brim	brimid
1	tvi	x	ób-x	því	tvi
1	Sàum	x	ób-x	sjá	Sàum
1	heilmargt	lheosf	lo-hk-et-þf-sb-fst	heilmargur	heilmargir
1	hàdegismaturinn	nkeng	no-kk-et-nf-gr	hádegismatur	hàdegismatur
1	thorpinu	x	ób-x	þorp	thorpinu
1	Úlfvaldastadir	x	ób-x	úlfvaldastadir	Úlfvaldastadir
1	sudrinu	x	ób-x	suður	sudrinu
1	thvi	x	ób-x	því	thvi
1	hàlfskyjad	x	ób-x	hálfskýjaður	hàlfskyjad
1	edla	x	ób-x	eðla	edla
1	herbergid	x	ób-x	herbergi	herbergid
1	bíd	x	ób-x	bíða	bíd
1	òlakaffi	nhen	no-hk-et-nf	ólakaffi	òlakaffi
1	geggjad	x	ób-x	geggjaður	geggjad
1	ordin	x	ób-x	verða	ordin
1	fullordin	x	ób-x	fullorðinn	fullordin
1	kjùkling	nkeo	no-kk-et-þf	kjúklingur	kjùklingur
1	salthnetusòsu	nveþ	no-kvk-et-þgf	salthnetusósa	salthnetusòsa
1	sùkkuladiheaven	x	ób-x	súkkulaðiheaven	sùkkuladiheaven
1	eftirrètt	nkeo	no-kk-et-þf	eftirréttur	eftirrèttur
1	Skyjad	x	ób-x	skýjaður	Skyjad
1	bidur	x	ób-x	bíða	bidur
1	nybùin	x	ób-x	nýbúinn	nybùin
1	thvo	x	ób-x	þvo	thvo
1	sùkkuladilyktina	x	ób-x	súkkulaðilykt	sùkkuladilyktina
1	nuddid	x	ób-x	nudd	nuddid
1	sùkkuladi	x	ób-x	súkkulaði	sùkkuladi
1	Ljùfa	lhensf	lo-hk-et-nf-sb-fst	ljúfur	ljùfa
1	àfram	aa	ao	áfram	àfram
1	sùkkuladiolium	x	ób-x	súkkulaðiolía	sùkkuladiolium
1	à	sfg1en	so-fh-gm-1p-et-nt	á	à
1	èta	sng	so-nh-gm	éta	èta
1	sjàlfa	foveo	fn-ó-kvk-et-þf	sjálfur	sjàlfur
1	Sòl	nven	no-kvk-et-nf	sól	sòl
1	blida	x	ób-x	blíða	blida
1	thòtt	x	ób-x	þótt	thòtt
1	litid	x	ób-x	líta	litid
1	borda	x	ób-x	borða	borda
1	leynistad	x	ób-x	leynistaður	leynistad
1	Thangad	x	ób-x	þangað	Thangad
1	Skrytid	x	ób-x	skrýtinn	Skrytid
1	òli	nken	no-kk-et-nf	Óli	òli
1	Kjòsinni	nveþgs	no-kvk-et-þgf-gr-s	Kjós	Kjòs
